@relation localsubcellular
@attribute A numeric
@attribute R numeric
@attribute N numeric
@attribute D numeric
@attribute C numeric
@attribute Q numeric
@attribute E numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute L numeric
@attribute K numeric
@attribute M numeric
@attribute F numeric
@attribute P numeric
@attribute S numeric
@attribute T numeric
@attribute W numeric
@attribute Y numeric
@attribute V numeric
@attribute BASIC numeric
@attribute ACID numeric
@attribute POLAR numeric
@attribute NONPOLAR numeric
@attribute CHAM830103 numeric
@attribute CHAM830104 numeric
@attribute CHAM830105 numeric
@attribute FAUJ880111 numeric
@attribute MONM990201 numeric
@attribute MONM990101 numeric
@attribute BEGF750101 numeric
@attribute BROC820102 numeric
@attribute FAUJ880112 numeric
@attribute GEIM800103 numeric
@attribute GEIM800105 numeric
@attribute LEWP710101 numeric
@attribute NAKH900102 numeric
@attribute NAKH900108 numeric
@attribute OOBM850104 numeric
@attribute PALJ810115 numeric
@attribute PONP800106 numeric
@attribute QIAN880116 numeric
@attribute RICJ880107 numeric
@attribute ROBB760111 numeric
@attribute ROSM880103 numeric
@attribute VENT840101 numeric
@attribute AURR980101 numeric
@attribute AURR980105 numeric
@attribute AURR980118 numeric
@attribute ZHOH040103 numeric
@attribute INIBASIC numeric
@attribute INIACID numeric
@attribute INIPOLAR numeric
@attribute ININONPOLAR numeric
@attribute INICHAM830103 numeric
@attribute INICHAM830104 numeric
@attribute INICHAM830105 numeric
@attribute INIFAUJ880111 numeric
@attribute INIMONM990201 numeric
@attribute INIMONM990101 numeric
@attribute INIBEGF750101 numeric
@attribute INIBROC820102 numeric
@attribute INIFAUJ880112 numeric
@attribute INIGEIM800103 numeric
@attribute INIGEIM800105 numeric
@attribute INILEWP710101 numeric
@attribute ININAKH900102 numeric
@attribute ININAKH900108 numeric
@attribute INIOOBM850104 numeric
@attribute INIPALJ810115 numeric
@attribute INIPONP800106 numeric
@attribute INIQIAN880116 numeric
@attribute INIRICJ880107 numeric
@attribute INIROBB760111 numeric
@attribute INIROSM880103 numeric
@attribute INIVENT840101 numeric
@attribute INIAURR980101 numeric
@attribute INIAURR980105 numeric
@attribute INIAURR980118 numeric
@attribute INIZHOH040103 numeric
@attribute ENDBASIC numeric
@attribute ENDACID numeric
@attribute ENDPOLAR numeric
@attribute ENDNONPOLAR numeric
@attribute ENDCHAM830103 numeric
@attribute ENDCHAM830104 numeric
@attribute ENDCHAM830105 numeric
@attribute ENDFAUJ880111 numeric
@attribute ENDMONM990201 numeric
@attribute ENDMONM990101 numeric
@attribute ENDBEGF750101 numeric
@attribute ENDBROC820102 numeric
@attribute ENDFAUJ880112 numeric
@attribute ENDGEIM800103 numeric
@attribute ENDGEIM800105 numeric
@attribute ENDLEWP710101 numeric
@attribute ENDNAKH900102 numeric
@attribute ENDNAKH900108 numeric
@attribute ENDOOBM850104 numeric
@attribute ENDPALJ810115 numeric
@attribute ENDPONP800106 numeric
@attribute ENDQIAN880116 numeric
@attribute ENDRICJ880107 numeric
@attribute ENDROBB760111 numeric
@attribute ENDROSM880103 numeric
@attribute ENDVENT840101 numeric
@attribute ENDAURR980101 numeric
@attribute ENDAURR980105 numeric
@attribute ENDAURR980118 numeric
@attribute ENDZHOH040103 numeric
@attribute MIDBASIC numeric
@attribute MIDACID numeric
@attribute MIDPOLAR numeric
@attribute MIDNONPOLAR numeric
@attribute MIDCHAM830103 numeric
@attribute MIDCHAM830104 numeric
@attribute MIDCHAM830105 numeric
@attribute MIDFAUJ880111 numeric
@attribute MIDMONM990201 numeric
@attribute MIDMONM990101 numeric
@attribute MIDBEGF750101 numeric
@attribute MIDBROC820102 numeric
@attribute MIDFAUJ880112 numeric
@attribute MIDGEIM800103 numeric
@attribute MIDGEIM800105 numeric
@attribute MIDLEWP710101 numeric
@attribute MIDNAKH900102 numeric
@attribute MIDNAKH900108 numeric
@attribute MIDOOBM850104 numeric
@attribute MIDPALJ810115 numeric
@attribute MIDPONP800106 numeric
@attribute MIDQIAN880116 numeric
@attribute MIDRICJ880107 numeric
@attribute MIDROBB760111 numeric
@attribute MIDROSM880103 numeric
@attribute MIDVENT840101 numeric
@attribute MIDAURR980101 numeric
@attribute MIDAURR980105 numeric
@attribute MIDAURR980118 numeric
@attribute MIDZHOH040103 numeric

@attribute class {SECRETED,NON-SECRETED}
@data
12,18,33,37,7,8,54,26,9,52,38,40,10,21,11,18,25,3,41,16,67.0,91.0,158.0,163.0,523.0,402.0,205.5,67.0,469.6,503.30002,280.92,1036.5,91.0,532.66,471.29996,156.27,1279.4099,106.49,-600.67004,434.11996,5586.7095,-31.680002,443.9,-171.79999,319.59998,171.0,501.89005,468.49,503.72995,6219.9995,6.0,9.0,8.0,17.0,45.0,37.0,16.5,6.0,38.2,41.899998,24.81,123.8,9.0,44.05,38.98,13.06,107.04,5.7799997,-84.83,33.390003,474.6,-4.5199995,44.699997,-19.7,24.5,15.0,42.25,39.339993,42.25,543.69995,10.0,13.0,19.0,18.0,68.0,51.0,31.0,10.0,62.499996,68.200005,34.93,97.59999,13.0,67.46999,59.14,18.859999,160.34,13.23,-64.00999,53.270004,694.32996,-2.69,48.5,-14.600002,41.199997,22.0,65.46001,57.26,64.56,748.80005,23.0,28.0,57.0,51.0,172.0,131.0,69.0,23.0,153.59999,162.8,94.74,296.0,28.0,179.91998,155.66002,51.91,425.91,38.319996,-207.48999,148.37001,1846.8202,-9.720001,143.30002,-66.90001,107.1,54.0,163.81999,156.63002,166.42,2019.3,NON-SECRETED
54,16,12,19,3,28,35,39,9,19,35,22,10,17,13,23,26,7,17,23,47.0,54.0,148.0,178.0,389.0,281.0,164.5,47.0,387.0,420.3,265.96997,1076.6,54.0,460.19998,420.98996,135.80002,1206.61,-14.830003,-690.52997,407.5,4954.0493,-27.769999,444.1,-140.99997,245.39998,118.0,436.72995,405.79,434.45,5390.4,5.0,7.0,14.0,14.0,39.0,27.0,20.5,5.0,39.7,42.600002,24.37,60.299995,7.0,43.460003,39.54,13.169999,109.42,-6.3199997,-77.18,39.36,469.66998,-1.7400001,44.399998,-1.2000008,23.300001,11.0,40.969997,38.58,39.489998,481.69998,5.0,7.0,32.0,16.0,60.0,30.0,24.0,5.0,54.2,56.6,34.649998,75.700005,7.0,59.15,61.259995,19.98,169.79,-10.619999,-71.11,57.990005,684.05005,0.46999994,54.3,24.900002,33.2,12.0,60.700005,60.209995,58.870007,689.39996,14.0,19.0,41.0,69.0,129.0,88.0,42.5,14.0,123.90001,135.5,90.48,412.5,19.0,152.59,141.26001,46.129997,411.63998,-4.030003,-238.90997,131.19,1659.39,-10.599999,146.0,-92.299995,77.9,41.0,147.17,134.63002,145.01001,1864.1998,NON-SECRETED
31,10,20,26,4,5,27,32,9,40,30,37,12,12,12,29,18,0,17,29,56.0,53.0,125.0,166.0,412.0,275.0,129.0,56.0,366.30002,396.30002,244.03998,851.9,53.0,433.19,399.22,131.51999,1114.78,56.940006,-835.55005,376.72995,4669.81,-25.09,377.90002,-207.90001,226.20001,128.0,406.96002,383.69,410.71,5097.2,5.0,4.0,15.0,16.0,41.0,32.0,10.0,5.0,35.8,39.0,24.689999,89.9,4.0,45.7,40.2,13.45,115.130005,11.65,-122.24,38.65,471.46997,-2.7800002,40.899998,-3.0999994,20.699999,14.0,39.2,37.71,40.760002,514.1,9.0,13.0,13.0,25.0,67.0,46.0,24.0,9.0,55.300003,61.600002,38.989998,98.0,13.0,67.4,58.19,17.309998,169.06,2.6800003,-156.16998,51.710003,704.47003,-5.3800006,58.100002,-64.0,36.9,20.0,62.909996,57.68,61.96,750.3,16.0,13.0,49.0,56.0,138.0,87.0,47.0,16.0,122.3,128.1,78.08,335.4,13.0,139.06999,136.62001,45.45,363.29,28.599997,-223.94,129.91002,1568.69,-5.7999997,122.299995,-65.899994,79.0,43.0,135.34999,129.84999,137.07999,1736.8999,NON-SECRETED
23,11,32,18,5,13,26,23,9,35,35,39,7,23,8,26,18,1,13,28,59.0,44.0,130.0,160.0,420.0,297.0,142.5,59.0,362.9,394.70004,237.94998,985.80005,44.0,419.37,393.84,120.60999,1082.3201,82.44001,-960.98987,362.8,4608.4697,-29.25,394.69998,-155.20001,231.10002,135.0,394.42004,376.97,401.09998,5106.3,7.0,3.0,13.0,17.0,42.0,31.0,15.0,7.0,35.8,39.800003,24.439999,110.5,3.0,42.89,40.82,12.009999,110.509995,8.280001,-136.51001,36.81,475.25998,-3.59,44.8,6.7000027,20.6,14.0,39.26,37.399998,41.07,528.2,8.0,7.0,23.0,22.0,70.0,47.0,21.0,8.0,55.1,58.700005,36.32,144.09999,7.0,63.47,60.85,18.820002,165.84001,16.13,-153.82,54.259995,703.31995,-3.0299997,58.8,-22.699997,35.399998,21.0,59.059998,59.41,59.510002,761.9,19.0,12.0,49.0,51.0,137.0,93.0,46.5,19.0,123.0,131.6,75.76,301.09998,12.0,134.55,132.16,41.379997,359.8,26.84,-287.33002,125.12999,1529.7201,-8.27,127.0,-40.499996,77.79999,43.0,130.82,125.90001,132.37001,1700.4,NON-SECRETED
9,13,16,18,5,7,19,6,8,25,18,18,7,13,5,16,11,0,10,14,39.0,37.0,71.0,91.0,268.0,190.0,95.0,39.0,226.69998,244.59999,141.9,553.6,37.0,257.37,237.07999,74.11,634.61,43.870007,-405.53003,208.45001,2806.84,-18.36,237.99998,-123.69999,148.5,80.0,241.95999,231.27998,244.34001,3118.2002,5.0,8.0,8.0,19.0,45.0,32.0,17.0,5.0,39.400005,43.2,24.47,82.2,8.0,46.74,37.600002,12.340001,105.13001,8.09,-88.439995,33.600002,474.98996,-3.93,35.100002,-48.899998,25.9,11.0,41.920006,38.959995,42.08,513.6,14.0,8.0,19.0,19.0,68.0,49.0,29.0,14.0,60.499996,66.100006,34.24,98.799995,8.0,62.9,60.45,16.869999,158.16998,11.33,-88.869995,52.6,708.73,-4.5799994,60.6,-14.000002,38.899994,21.0,60.51,56.069996,60.86,782.7,10.0,12.0,25.0,33.0,93.0,59.0,26.0,10.0,71.00001,74.90001,48.410004,229.3,12.0,82.88999,82.81999,25.819998,216.62997,11.139999,-130.98999,69.6,941.2001,-5.3400006,82.5,-54.79999,48.399998,30.0,80.630005,78.950005,80.68,1080.3,NON-SECRETED
20,6,3,7,2,10,14,19,3,15,15,11,3,12,11,15,11,1,2,16,20.0,21.0,62.0,93.0,188.0,117.0,62.5,20.0,171.4,187.99998,118.670006,547.2999,21.0,196.73,198.54999,60.559998,560.58997,3.33,-452.15,182.95999,2297.6501,-11.869999,200.50002,-98.1,105.700005,61.0,199.89,185.5,196.71,2536.7,9.0,7.0,9.0,15.0,43.0,33.0,18.0,9.0,38.800003,43.9,26.2,53.099995,7.0,46.92,39.03,10.870001,117.03,-4.2500005,-111.56,34.58,468.99,-3.74,43.300003,-27.6,22.800001,11.0,41.0,35.989998,41.230003,481.10004,4.0,4.0,21.0,31.0,51.0,31.0,17.5,4.0,53.700005,59.199997,33.46,191.30002,4.0,54.749996,61.370003,19.609999,169.25,1.2599996,-124.39001,60.16,707.1099,-3.3099997,61.79999,-10.399996,30.699997,19.0,61.11,57.11,59.780003,790.80005,5.0,5.0,22.0,34.0,61.0,37.0,19.0,5.0,51.899998,56.4,42.069996,232.70001,5.0,67.10999,67.270004,20.050001,190.72997,4.9299994,-182.93002,61.67,771.88,-4.29,69.6,-34.3,34.6,21.0,66.78001,62.22,66.71001,878.3,NON-SECRETED
72,25,38,74,2,29,66,42,19,49,81,68,19,38,31,42,42,17,31,59,112.0,140.0,226.0,366.0,849.0,635.0,320.5,112.0,787.2,853.9001,526.86,2354.7998,140.0,931.74,825.02,272.08,2325.62,34.509995,-1498.36,782.12,9809.899,-70.94999,881.19995,-578.9,516.0,275.0,866.7699,824.75995,871.63007,10911.299,9.0,4.0,14.0,13.0,47.0,28.0,17.0,9.0,39.7,42.000004,22.539997,88.8,4.0,37.47,40.469997,12.969999,105.21001,7.9499984,-70.740005,36.890003,462.61996,-1.5899999,36.2,-8.299999,23.800001,12.0,40.749996,40.149998,40.850002,497.50003,11.0,12.0,7.0,30.0,63.0,44.0,24.0,11.0,55.8,63.5,39.550003,133.40001,12.0,66.26,57.6,15.67,171.63,-1.7099999,-146.04999,50.819996,702.53,-6.67,60.399998,-98.2,37.699997,20.0,63.280003,55.59,61.879997,767.4,34.0,46.0,78.0,124.0,278.0,225.0,103.5,34.0,264.2,286.09998,175.87999,930.1001,46.0,316.65002,273.81998,96.09,761.22003,25.3,-492.19003,266.46002,3293.69,-25.05,311.69998,-119.7,169.00002,94.0,288.11002,280.42,293.90002,3691.9,NON-SECRETED
12,10,3,11,1,6,14,18,2,14,13,12,5,8,5,2,10,0,7,18,24.0,25.0,47.0,75.0,178.0,118.0,64.0,24.0,153.90001,170.49998,106.97,447.2,25.0,172.02,175.04999,52.620003,479.61002,3.8900032,-311.86,152.46999,2015.4001,-12.57,177.6,-85.7,94.399994,60.0,179.78998,159.84001,176.34998,2237.0999,7.0,7.0,10.0,16.0,46.0,32.0,20.0,7.0,38.899998,42.9,24.47,100.6,7.0,42.260006,39.009995,12.25,104.01,5.93,-87.37,33.880005,473.12997,-3.23,39.2,-14.5,24.1,12.0,42.29,39.52,42.4,506.5,3.0,9.0,21.0,27.0,66.0,43.0,18.0,3.0,48.600002,52.8,39.339996,188.09999,9.0,61.719997,63.17,19.039999,167.31,5.3599997,-109.57,52.250008,715.57,-4.5299997,66.7,-28.500002,32.899998,24.0,61.85999,57.52999,60.84,819.9,12.0,5.0,16.0,24.0,55.0,35.0,21.0,12.0,54.300003,60.5,33.120003,141.7,5.0,51.83,60.239998,17.949999,164.57,-2.2799993,-89.590004,54.23,665.57,-2.8799999,58.3,-6.800001,28.4,20.0,60.10999,50.559994,58.659992,736.1,NON-SECRETED
14,6,1,14,4,3,15,18,1,17,18,16,5,7,7,5,9,0,6,14,23.0,29.0,46.0,82.0,181.0,127.0,59.0,23.0,158.8,175.40001,112.499985,452.3,29.0,191.68001,181.11002,56.960007,513.41003,7.210001,-404.63,161.75,2116.37,-15.36,185.00002,-102.899994,99.2,62.0,188.24,168.16002,187.25,2379.6,5.0,9.0,7.0,19.0,42.0,30.0,16.0,5.0,38.100006,42.0,24.039999,120.7,9.0,41.73,38.69,13.21,108.86001,1.47,-61.389996,34.260002,468.77002,-3.2599998,38.3,-35.0,24.299997,13.0,43.16,39.96,42.239998,518.0,6.0,8.0,19.0,27.0,60.0,45.0,18.0,6.0,48.699993,54.3,39.17,164.1,8.0,65.43,61.6,17.779999,175.56001,8.18,-174.68001,52.85,713.61,-5.6100006,67.0,-16.099998,31.699999,23.0,61.969994,53.679996,61.879997,822.7001,10.0,8.0,15.0,27.0,60.0,39.0,21.0,10.0,54.7,59.699997,36.56,139.3,8.0,61.789997,60.979996,18.859999,171.66,-1.2400011,-131.41,56.82,696.38995,-4.62,59.000004,-46.4,34.0,20.0,62.519997,55.879997,62.71,776.9,NON-SECRETED
13,4,4,16,2,2,13,16,1,12,16,19,3,6,5,5,8,0,8,19,24.0,29.0,45.0,74.0,177.0,120.0,56.0,24.0,155.3,170.69998,107.64,364.8,29.0,183.9,173.56999,55.319996,487.94998,3.2400014,-336.86002,158.27,2007.4401,-13.830001,170.6,-114.80001,97.09999,61.0,178.80002,162.8,178.16,2232.4,7.0,8.0,10.0,15.0,46.0,30.0,15.0,7.0,38.4,41.199997,23.539997,87.2,8.0,43.339993,40.26,14.35,108.380005,3.2800007,-87.28,36.300003,461.86,-2.2299998,36.5,-8.699999,22.6,14.0,41.55,40.559998,42.3,504.0,5.0,9.0,18.0,28.0,64.0,39.0,12.0,5.0,49.1,53.500008,39.56,127.6,9.0,64.28,62.349995,19.439999,171.54002,1.3199998,-120.69,54.27,708.42993,-5.4600005,63.700005,-53.899998,31.6,23.0,59.949997,56.83,59.54,810.00006,11.0,8.0,14.0,25.0,54.0,39.0,25.0,11.0,53.800003,60.4,35.77,127.49999,8.0,58.600002,58.280003,16.83,167.97998,-2.2999995,-116.7,53.95,676.94,-4.66,58.699997,-30.200005,32.799995,19.0,62.19,51.55,61.11,744.9,NON-SECRETED
